,CUSIP,Spread_x,Date,Volume,Bid,Ask,Spread_y,Par
0,00101JAF3,0.43649999999999994,2017-04-07,11.0,96.007,96.632,0.625,50.0
6,00164VAD5,0.4581666666666635,2017-04-10,1000.0,100.617,101.202,0.5849999999999937,50.0
12,00774CAA5,0.4410000000000025,2017-04-07,1000.0,99.978,100.514,0.5360000000000014,50.0
18,013093AA7,0.4182857142857098,2017-04-07,1275.0,102.525,102.832,0.30699999999998795,50.0
25,013093AC3,0.43979999999999964,2017-04-07,2200.0,97.705,98.029,0.32399999999999807,50.0
30,019736AD9,0.3651666666666671,2017-04-07,2165.0,101.25,101.47,0.21999999999999886,61.0
36,02005NBB5,0.3861666666666655,2017-04-07,1000.0,101.291,101.685,0.39400000000000546,82.0
55,03232PAD0,0.24766666666666737,2017-04-10,4200.0,102.502,102.946,0.4440000000000026,50.0
61,03674PAL7,0.3602857142857151,2017-04-07,2275.0,103.277,103.727,0.45000000000000284,88.0
75,04021LAA8,0.4029999999999977,2017-04-07,6848.0,92.812,93.292,0.480000000000004,70.0
82,044209AF1,0.4269999999999996,2017-04-10,395.0,103.132,103.8,0.6679999999999922,52.0
88,05578MAA0,0.5029999999999978,2017-04-07,2000.0,101.548,101.874,0.3259999999999934,64.0
94,058498AT3,0.4300000000000021,2017-04-10,2674.0,106.693,106.989,0.2960000000000065,79.0
107,09628UAA4,0.33499999999999985,2017-04-07,4000.0,102.531,102.899,0.367999999999995,65.0
114,097751BM2,0.45500000000000235,2017-04-07,20.0,101.996,102.454,0.4579999999999984,65.0
121,097751BP5,0.3771428571428572,2017-04-07,7635.0,109.294,109.662,0.3680000000000092,53.0
135,1248EPBT9,0.22685714285714198,2017-04-07,12840.0,100.09,100.315,0.22499999999999432,213.0
142,12543DAV2,0.18899999999999903,2017-04-07,9555.0,85.418,85.648,0.22999999999998977,120.0
149,12543DAY6,0.28771428571428714,2017-04-07,6365.0,102.043,102.293,0.25,87.0
156,125581GQ5,0.3692857142857114,2017-04-07,100.0,105.769,106.111,0.34199999999999875,90.0
174,13057QAG2,0.3724285714285693,2017-04-07,16419.0,81.865,82.237,0.3719999999999999,77.0
187,131347CF1,0.41857142857142754,2017-04-07,6690.0,97.997,98.474,0.47700000000000387,139.0
194,15135BAF8,0.3025714285714299,2017-04-07,200.0,104.652,104.962,0.3100000000000023,115.0
